全部,#genre#
CCTV-1综合,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225654/index.m3u8?servicetype=1
CCTV-2财经,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225657/index.m3u8?servicetype=1
CCTV-3综艺,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225713/index.m3u8?servicetype=1
CCTV-4中文国际,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225761/index.m3u8?servicetype=1
CCTV-5体育,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225801/index.m3u8?servicetype=1
CCTV-5体育,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225660/index.m3u8?servicetype=1
CCTV-5+体育赛事,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225712/index.m3u8?servicetype=1
CCTV-6电影,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225715/index.m3u8?servicetype=1
CCTV-7国防军事,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225700/index.m3u8?servicetype=1
CCTV-8电视剧,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225716/index.m3u8?servicetype=1
CCTV-9纪录,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225663/index.m3u8?servicetype=1
CCTV-10科教,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225704/index.m3u8?servicetype=1
CCTV-11戏曲,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225895/index.m3u8?servicetype=1
CCTV-12社会与法,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225645/index.m3u8?servicetype=1
CCTV-13新闻,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225742/index.m3u8?servicetype=1
CCTV-13新闻,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225759/index.m3u8?servicetype=1
CCTV-14少儿,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225648/index.m3u8?servicetype=1
CCTV-15音乐,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225693/index.m3u8?servicetype=1
CCTV-16奥运,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225937/index.m3u8?servicetype=1
CCTV-17农业农村,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225766/index.m3u8?servicetype=1


CCTV-1综合,http://111.12.110.7:6610/PLTV/77777777/224/3221225654/index.m3u8?
CCTV-1综合,http://111.12.110.7:6610/PLTV/77777777/224/3221225934/index.m3u8?
CCTV-1综合,http://111.12.110.7:6610/PLTV/77777777/224/3221225976/index.m3u8?
CCTV-1综合,http://111.12.110.7:6610/PLTV/77777777/224/3221225984/index.m3u8?
CCTV-1综合,http://111.12.110.7:6610/PLTV/77777777/224/3221225987/index.m3u8?
CCTV-1综合,http://111.12.110.7:6610/PLTV/77777777/224/3221226052/index.m3u8?
CCTV-2财经,http://111.12.110.7:6610/PLTV/77777777/224/3221225657/index.m3u8?
CCTV-2财经,http://111.12.110.7:6610/PLTV/77777777/224/3221225948/index.m3u8?
CCTV-3综艺,http://111.12.110.7:6610/PLTV/77777777/224/3221225713/index.m3u8?
CCTV-3综艺,http://111.12.110.7:6610/PLTV/77777777/224/3221225916/index.m3u8?
CCTV-4中文国际,http://111.12.110.7:6610/PLTV/77777777/224/3221225761/index.m3u8?
CCTV-4中文国际,http://111.12.110.7:6610/PLTV/77777777/224/3221225775/index.m3u8?
CCTV-4中文国际,http://111.12.110.7:6610/PLTV/77777777/224/3221225922/index.m3u8?
CCTV-5体育,http://111.12.110.7:6610/PLTV/77777777/224/3221225516/index.m3u8?
CCTV-5体育,http://111.12.110.7:6610/PLTV/77777777/224/3221225660/index.m3u8?
