🗻央视频道,#genre#
CCTV1综合,https://php.61073736.repl.co/bestv.php?id=cctv1hd8m/8000000
CCTV2财经,https://php.61073736.repl.co/bestv.php?id=cctv2hd8m/8000000
CCTV3综艺,https://php.61073736.repl.co/bestv.php?id=cctv38m/8000000
CCTV4中文国际,https://php.61073736.repl.co/bestv.php?id=cctv4hd8m/8000000
CCTV5体育,https://php.61073736.repl.co/bestv.php?id=cctv58m/8000000
CCTV5+,https://php.61073736.repl.co/bestv.php?id=cctv5phd8m/8000000
CCTV6电影,https://php.61073736.repl.co/bestv.php?id=cctv6hd8m/8000000
CCTV7国防军事,https://php.61073736.repl.co/bestv.php?id=cctv7hd8m/8000000
CCTV8电视剧,https://php.61073736.repl.co/bestv.php?id=cctv8hd8m/8000000
CCTV9纪录,https://php.61073736.repl.co/bestv.php?id=cctv9hd8m/8000000
CCTV10科教,https://php.61073736.repl.co/bestv.php?id=cctv10hd8m/8000000
CCTV11戏曲,https://php.61073736.repl.co/bestv.php?id=cctv11hd8m/8000000
CCTV12社会与法,https://php.61073736.repl.co/bestv.php?id=cctv12hd8m/8000000
CCTV13新闻,https://php.61073736.repl.co/bestv.php?id=cctv13xwhd8m/8000000
CCTV14少儿,https://php.61073736.repl.co/bestv.php?id=cctvsehd8m/8000000
CCTV15音乐,https://php.61073736.repl.co/bestv.php?id=cctv15hd8m/8000000
CCTV16奥林匹克,https://php.61073736.repl.co/bestv.php?id=cctv16hd8m/8000000
CCTV17农业农村,https://php.61073736.repl.co/bestv.php?id=cctv17hd8m/8000000
CCTV16(4K),https://php.61073736.repl.co/bestv.php?id=cctv16hd4k/15000000
CCTV4K,https://php.61073736.repl.co/bestv.php?id=cctv4k/15000000
欢笑剧场,https://php.61073736.repl.co/bestv.php?id=hxjc4k/15000000


CCTV4K,https://php.61073736.repl.co/cqyx.php?id=CCTV4K
CCTV1综合,https://php.61073736.repl.co/cqyx.php?id=cctv1HD
CCTV2财经,https://php.61073736.repl.co/cqyx.php?id=cctv2HD
CCTV3综艺,https://php.61073736.repl.co/cqyx.php?id=cctv3HD
CCTV4中文国际,https://php.61073736.repl.co/cqyx.php?id=cctv4HD
CCTV5体育,https://php.61073736.repl.co/cqyx.php?id=cctv5HD
CCTV6电影,https://php.61073736.repl.co/cqyx.php?id=cctv6HD
CCTV7国防军事,https://php.61073736.repl.co/cqyx.php?id=cctv7HD
CCTV8电视剧,https://php.61073736.repl.co/cqyx.php?id=cctv8HD
CCTV9纪录,https://php.61073736.repl.co/cqyx.php?id=cctv9HD
CCTV10科教,https://php.61073736.repl.co/cqyx.php?id=cctv10HD
CCTV11戏曲,https://php.61073736.repl.co/cqyx.php?id=cctv11HD
CCTV12社会与法,https://php.61073736.repl.co/cqyx.php?id=cctv12HD
CCTV13新闻,https://php.61073736.repl.co/cqyx.php?id=CCTVNewsHD
CCTV14少儿,https://php.61073736.repl.co/cqyx.php?id=cctvseHD
CCTV15音乐,https://php.61073736.repl.co/cqyx.php?id=cctv15HD
CCTV16奥林匹克,https://php.61073736.repl.co/cqyx.php?id=cctv16HD
CCTV16(4K),https://php.61073736.repl.co/cqyx.php?id=CCTV16_4K
CCTV17农业农村,https://php.61073736.repl.co/cqyx.php?id=cctv17HD
CGTN,https://php.61073736.repl.co/cqyx.php?id=cgtnSD
CETV1,https://php.61073736.repl.co/cqyx.php?id=cetv-1SD
CETV4,https://php.61073736.repl.co/cqyx.php?id=cetv-4SD


💙卫视频道,#genre#
江苏卫视,https://php.61073736.repl.co/bestv.php?id=jswshd8m/8000000
广西卫视,https://php.61073736.repl.co/bestv.php?id=gxwshd8m/8000000
四川卫视,https://php.61073736.repl.co/bestv.php?id=scwshd/8000000
湖南卫视,https://php.61073736.repl.co/bestv.php?id=hunanwshd8m/8000000
浙江卫视,https://php.61073736.repl.co/bestv.php?id=zjwshd8m/8000000
东方卫视,https://php.61073736.repl.co/bestv.php?id=dfwshd8m/8000000
北京卫视,https://php.61073736.repl.co/bestv.php?id=bjwshd8m/8000000
天津卫视,https://php.61073736.repl.co/bestv.php?id=tjwshd8m/8000000
辽宁卫视,https://php.61073736.repl.co/bestv.php?id=lnwshd8m/8000000
安徽卫视,https://php.61073736.repl.co/bestv.php?id=ahwshd8m/8000000
黑龙江卫视,https://php.61073736.repl.co/bestv.php?id=hljwshd8m/8000000
广东卫视,https://php.61073736.repl.co/bestv.php?id=gdwshd8m/8000000
深圳卫视,https://php.61073736.repl.co/bestv.php?id=szwshd8m/8000000
湖北卫视,https://php.61073736.repl.co/bestv.php?id=hubeiws8m/8000000
吉林卫视,https://php.61073736.repl.co/bestv.php?id=jlwshd8m/8000000
山东卫视,https://php.61073736.repl.co/bestv.php?id=sdws8m/8000000
江西卫视,https://php.61073736.repl.co/bestv.php?id=jxws8m/8000000
河南卫视,https://php.61073736.repl.co/bestv.php?id=hnwshd8m/8000000
河北卫视,https://php.61073736.repl.co/bestv.php?id=hbwshd8m/8000000
甘肃卫视,https://php.61073736.repl.co/bestv.php?id=gswshd8m/8000000
重庆卫视,https://php.61073736.repl.co/bestv.php?id=cqws8m/8000000
东南卫视,https://php.61073736.repl.co/bestv.php?id=dnwshd8m/8000000
云南卫视,https://php.61073736.repl.co/bestv.php?id=ynwshd8m/8000000
贵州卫视,https://php.61073736.repl.co/bestv.php?id=gzwshd8m/8000000
海南卫视,https://php.61073736.repl.co/bestv.php?id=hainanwshd8m/8000000
欢笑剧场,https://php.61073736.repl.co/bestv.php?id=hxjc8m/8000000
劲爆体育,https://php.61073736.repl.co/bestv.php?id=jbtyhd8m/8000000
快乐垂钓,https://php.61073736.repl.co/bestv.php?id=klcd8m/8000000
金鹰纪实,https://php.61073736.repl.co/bestv.php?id=jyjs8m/8000000
戏曲精选,https://php.61073736.repl.co/bestv.php?id=xqjx8m/8000000
上海第一财经,https://php.61073736.repl.co/bestv.php?id=dycjhd8m/8000000
上视新闻,https://php.61073736.repl.co/bestv.php?id=xwzhhd8m/8000000
上海都市,https://php.61073736.repl.co/bestv.php?id=dshd8m/8000000
上海纪实,https://php.61073736.repl.co/bestv.php?id=jspdhd/4000000
东方影视,https://php.61073736.repl.co/bestv.php?id=dfyshd8m/8000000
五星体育,https://php.61073736.repl.co/bestv.php?id=wxtyhd8m/8000000
上视外语,https://php.61073736.repl.co/bestv.php?id=icshd8m/8000000
七彩戏剧,https://php.61073736.repl.co/bestv.php?id=qcxjhd8m/8000000
上海教育,https://php.61073736.repl.co/bestv.php?id=setvhd/8000000
