加Q群,#genre#
Q群605625151,https://txmov2.a.kwimgs.com/bs3/video-hls/5251197255879398624_hlshd15.m3u8


足球频道,http://nmglive.imfc.cn/5n1r1c/182396.m3u8

CCTV-1,http://cdn.u55u.cn/migu.php?id=cctv1#http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel41101/2300/20240415/20240415T184806.ts?starttime=20240415T184756
CCTV-2,http://cdn.u55u.cn/migu.php?id=cctv2$咪咕代理 接口
CCTV-3,http://cdn.u55u.cn/migu.php?id=cctv3$咪咕代理 接口
CCTV-4,http://cdn.u55u.cn/migu.php?id=cctv4$咪咕代理 接口
CCTV-4欧洲,http://cdn.u55u.cn/migu.php?id=cctv4o$咪咕代理 接口
CCTV-4美洲,http://cdn.u55u.cn/migu.php?id=cctv4a$咪咕代理 接口
CCTV-5,http://cdn.u55u.cn/migu.php?id=cctv5$咪咕代理 接口
CCTV-5+,http://cdn.u55u.cn/migu.php?id=cctv5p$咪咕代理 接口
CCTV-6,http://cdn.u55u.cn/migu.php?id=cctv6$咪咕代理 接口
CCTV-7,http://cdn.u55u.cn/migu.php?id=cctv7
CCTV-8,http://cdn.u55u.cn/migu.php?id=cctv8$咪咕代理 接口
CCTV-9,http://cdn.u55u.cn/migu.php?id=cctv9$咪咕代理 接口
CCTV-10,http://cdn.u55u.cn/migu.php?id=cctv10$咪咕代理 接口
CCTV-11,http://cdn.u55u.cn/migu.php?id=cctv11$咪咕代理 接口
CCTV-12,http://cdn.u55u.cn/migu.php?id=cctv12$咪咕代理 接口
CCTV-13,http://cdn.u55u.cn/migu.php?id=cctv13$咪咕代理 接口
CCTV-14,http://cdn.u55u.cn/migu.php?id=cctv14$咪咕代理 接口
CCTV-15,http://cdn.u55u.cn/migu.php?id=cctv15$咪咕代理 接口
CCTV-16,http://bkpcp.ddns.net:8000/ysp.php?id=cctv16
CCTV-17,http://cdn.u55u.cn/migu.php?id=cctv17$咪咕代理 接口

CCTV16奥运,http://bkpcp.ddns.net:8000/ysp.php?id=cctv16
CCTV4K超高清,http://mtw.so/5VbDUV
CCTV4K超高清,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/1.m3u8



CCTV兵器科技,http://bkpcp.ddns.net:8000/ysp.php?id=bqkj
CCTV第一剧场,http://bkpcp.ddns.net:8000/ysp.php?id=dyjc
CCTV怀旧剧场,http://bkpcp.ddns.net:8000/ysp.php?id=hjjc
CCTV风云剧场,http://bkpcp.ddns.net:8000/ysp.php?id=fyjc
CCTV风云音乐,http://bkpcp.ddns.net:8000/ysp.php?id=fyyy
CCTV风云足球,http://bkpcp.ddns.net:8000/ysp.php?id=fyzq
CCTV电视指南,http://bkpcp.ddns.net:8000/ysp.php?id=dszn
CCTV女性时尚,http://bkpcp.ddns.net:8000/ysp.php?id=nxss
